Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-13,22.850000381469727,23.020000457763672,22.110000610351562,22.59000015258789,20437400,0,0
2021-10-14,22.510000228881836,24.100000381469727,22.5,24.010000228881836,20756100,0,0
2021-10-15,23.84000015258789,24.219999313354492,23.43000030517578,24.079999923706055,14869600,0,0
2021-10-18,23.989999771118164,25.65999984741211,23.969999313354492,25.34000015258789,26182800,0,0
2021-10-19,25.40999984741211,25.610000610351562,24.479999542236328,24.729999542236328,16034700,0,0
2021-10-20,24.760000228881836,25.270000457763672,24.139999389648438,24.239999771118164,15462900,0,0
2021-10-21,24.299999237060547,25.049999237060547,24.040000915527344,24.459999084472656,21810300,0,0
2021-10-22,24.030000686645508,24.190000534057617,23.40999984741211,24.110000610351562,16384000,0,0
2021-10-25,24.8799991607666,27.399999618530273,24.70199966430664,26.850000381469727,53941800,0,0
2021-10-26,26.850000381469727,28.200000762939453,26.049999237060547,26.3799991607666,40979500,0,0
2021-10-27,27.690000534057617,28.940000534057617,26.729999542236328,27.020000457763672,52224600,0,0
2021-10-28,28.540000915527344,39.779998779296875,28.079999923706055,35.47999954223633,377220900,0,0
2021-10-29,38.25,41.599998474121094,35.43000030517578,36.9900016784668,221097400,0,0
2021-11-01,39.994998931884766,40.16999816894531,35.72999954223633,36.529998779296875,121435300,0,0
2021-11-02,34.564998626708984,35.38999938964844,33.02000045776367,35.130001068115234,75032500,0,0
2021-11-03,34.22999954223633,37.380001068115234,34.22999954223633,36.54499816894531,61133700,0,0
2021-11-04,37.380001068115234,37.70000076293945,36.06999969482422,37.119998931884766,40730400,0,0
2021-11-05,37.5,41.91999816894531,36.16999816894531,41.79999923706055,111647500,0,0
2021-11-08,43.540000915527344,47.869998931884766,43.040000915527344,45.91999816894531,154195400,0,0
2021-11-09,47.47999954223633,48.040000915527344,42.150001525878906,44.779998779296875,90177700,0,0
2021-11-10,42.29999923706055,45.0,39.340999603271484,40.75,79342800,0,0
2021-11-11,42.75,45.75,41.7400016784668,44.97999954223633,69846300,0,0
2021-11-12,44.0,45.189998626708984,42.7400016784668,43.93000030517578,40899600,0,0
