2021-10-14,20.0
2021-10-15,100.0
2021-10-16,50.0
2021-10-17,20.0
2021-10-18,100.0
2021-10-19,190.0
2021-10-20,130.0
2021-10-21,110.0
2021-10-22,360.0
2021-10-23,50.0
2021-10-24,20.0
2021-10-25,203.0
2021-10-26,206.0
2021-10-27,130.0
2021-10-28,80.0
2021-10-29,90.0
2021-10-30,310.0
2021-10-31,430.0
2021-11-01,390.0
2021-11-02,349.0
2021-11-03,150.0
2021-11-04,90.0
2021-11-05,100.0
2021-11-06,110.0
2021-11-07,110.0
2021-11-08,140.0
2021-11-09,210.0
2021-11-10,110.0
2021-11-11,280.0
2021-11-12,340.0
2021-11-13,120.0
2021-11-14,20.0
