Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-13,9.970000267028809,10.010000228881836,9.960000038146973,10.010000228881836,54900,0,0
2021-10-14,9.949999809265137,9.979999542236328,9.949999809265137,9.979999542236328,600,0,0
2021-10-15,9.979999542236328,9.979999542236328,9.979999542236328,9.979999542236328,0,0,0
2021-10-18,9.979999542236328,9.989999771118164,9.979999542236328,9.979999542236328,7500,0,0
2021-10-19,9.979999542236328,9.979999542236328,9.979999542236328,9.979999542236328,0,0,0
2021-10-20,9.942999839782715,9.942999839782715,9.942999839782715,9.942999839782715,2800,0,0
2021-10-21,9.975000381469727,9.97599983215332,9.975000381469727,9.97599983215332,800,0,0
2021-10-22,9.989999771118164,10.133999824523926,9.949000358581543,10.0,247400,0,0
2021-10-25,9.979999542236328,10.067999839782715,9.97599983215332,10.0600004196167,33000,0,0
2021-10-26,10.109999656677246,10.109999656677246,9.970000267028809,10.0,9600,0,0
2021-10-27,10.029999732971191,10.029999732971191,9.989999771118164,9.991000175476074,2800,0,0
2021-10-28,10.020000457763672,10.020000457763672,9.979999542236328,9.989999771118164,5300,0,0
2021-10-29,9.984999656677246,9.996000289916992,9.984999656677246,9.984999656677246,2000,0,0
2021-11-01,10.010000228881836,10.010000228881836,9.979999542236328,9.979999542236328,5100,0,0
2021-11-02,10.010000228881836,10.069999694824219,10.010000228881836,10.039999961853027,7400,0,0
2021-11-03,9.970000267028809,10.0,9.960000038146973,9.989999771118164,7100,0,0
2021-11-04,9.96500015258789,10.010000228881836,9.96500015258789,10.010000228881836,11000,0,0
2021-11-05,10.0,10.024999618530273,10.0,10.010000228881836,8600,0,0
2021-11-08,10.020000457763672,10.024999618530273,10.020000457763672,10.024999618530273,5100,0,0
2021-11-09,9.970000267028809,10.010000228881836,9.970000267028809,10.010000228881836,40800,0,0
2021-11-10,10.0,10.0,10.0,10.0,300,0,0
2021-11-11,10.0,10.0,10.0,10.0,2000,0,0
2021-11-12,10.015000343322754,10.015000343322754,10.0,10.0,7300,0,0
