Date,CloseToOpen
2021-10-18,32.11009776328374
2021-10-19,-17.293234475469866
2021-10-20,-16.434538392066543
2021-10-21,-34.70588334291449
2021-10-22,-24.33460369032057
2021-10-25,4.7738707615556635
2021-10-26,-5.500000715255737
2021-10-27,-5.699476584731587
2021-10-28,-8.19672633058898
2021-10-29,-4.761900369272073
2021-11-01,-4.320990879385587
2021-11-02,-4.3750032130628345
2021-11-03,1.8987323148685442
2021-11-04,3.0674817461689026
2021-11-05,0.0
2021-11-08,-0.5681812794001605
2021-11-09,-1.6949136561044988
2021-11-10,-11.42857415335519
2021-11-11,3.55029235195547
2021-11-12,1.1695895017748938
