Date,CloseToOpen
2021-10-13,-1.0859279458089661
2021-10-14,0.9624409908398907
2021-10-15,0.254513205101138
2021-10-18,2.4594000251008863
2021-10-19,1.5819226281117587
2021-10-20,1.4699327950617258
2021-10-21,2.387263431228996
2021-10-22,-0.8198430764353426
2021-10-25,-0.04325358355898537
2021-10-26,-3.5882108417901146
2021-10-27,1.0433184007273275
2021-10-28,3.131159103369864
2021-10-29,3.9351344752956083
2021-11-01,2.306979866914971
2021-11-02,2.0721683760231215
2021-11-03,0.8190961959863509
2021-11-04,2.728677089577824
2021-11-05,-1.4499982198079429
2021-11-08,-2.0517089684454226
2021-11-09,-1.205226763387687
2021-11-10,-0.05276830273008865
2021-11-11,0.48342990822860266
2021-11-12,-0.2213537700127899
