Date,CloseToOpen
2021-10-13,-0.35442883455300633
2021-10-14,-0.05040437905708144
2021-10-15,-3.5608275855823686
2021-10-18,1.084145975085912
2021-10-19,-0.40733159975666733
2021-10-20,2.0449878806323465
2021-10-21,1.099996566772461
2021-10-22,-0.6947860659991861
2021-10-25,-1.3013024766702999
2021-10-26,-0.20120226291382054
2021-10-27,-0.8076721439956789
2021-10-28,-0.05053172521073358
2021-10-29,-0.7102962767701376
2021-11-01,3.722588064841682
2021-11-02,-1.1741671470031065
2021-11-03,2.2178355607980746
2021-11-04,0.2408441064995109
2021-11-05,1.4217973063356426
2021-11-08,0.13824321770582004
2021-11-09,-3.109283397721246
2021-11-10,1.6540660869264228
2021-11-11,-0.13844340812129152
2021-11-12,1.3388777357816668
