Date,CloseToOpen
2021-10-13,4.2105286273269735
2021-10-14,-4.128447239993338
2021-10-15,0.0
2021-10-18,-1.0101000370632516
2021-10-19,0.0
2021-10-20,1.9999980926513672
2021-10-21,-3.92156496088299
2021-10-22,-5.102041933448131
2021-10-25,-2.6369191531908887
2021-10-26,1.9607837106715444
2021-10-27,6.122443021609968
2021-10-28,0.0
2021-10-29,-0.1999974250793457
2021-11-01,5.152473824722979
2021-11-02,0.0
2021-11-03,-4.714141617769334
2021-11-04,1.0526305882884401
2021-11-05,-2.187496720968362
2021-11-08,-3.1578917648653198
2021-11-09,-1.264491497011163
2021-11-10,-1.0752677834782465
2021-11-11,-1.6042765408167188
2021-11-12,-5.4347838058588644
