Date,CloseToOpen
2021-10-13,0.4012032174693999
2021-10-14,0.30150485976147023
2021-10-15,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.01001955534207699
2021-10-22,0.10010239350302436
2021-10-25,0.8016120345677332
2021-10-26,-1.0880282929049931
2021-10-27,-0.3888290980399092
2021-10-28,-0.29940803667591404
2021-10-29,0.0
2021-11-01,-0.2997071524428829
2021-11-02,0.29969762522715265
2021-11-03,0.20059682601508683
2021-11-04,0.45158129056584995
2021-11-05,0.10000228881835936
2021-11-08,0.04989182173867193
2021-11-09,0.4012032174693999
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,-0.14977875994537534
