Date,CloseToOpen
2021-10-13,1.2635410134184044
2021-10-14,6.3886360613100015
2021-10-15,-1.7097575281015773
2021-10-18,-0.8936131254155586
2021-10-19,-0.7264960643816576
2021-10-20,-1.115402122860257
2021-10-21,1.9956659741735883
2021-10-22,-0.46948616696032613
2021-10-25,-1.4982892650894462
2021-10-26,-2.3892316831978495
2021-10-27,-4.007122240501217
2021-10-28,1.251740665663798
2021-10-29,0.4981911717919031
2021-11-01,4.9616616043494775
2021-11-02,-1.4236407220079723
2021-11-03,2.9733203886053814
2021-11-04,-1.7902735947815722
2021-11-05,0.8650469218471352
2021-11-08,-1.8827578872780668
2021-11-09,1.0912265458973356
2021-11-10,6.776179025384812
2021-11-11,5.8000030517578125
2021-11-12,5.1117015875409475
