Date,CloseToOpen
2021-10-13,-0.8955238893513866
2021-10-14,0.0
2021-10-15,0.0
2021-10-18,0.19095531427115656
2021-10-19,0.4012032174693999
2021-10-20,-0.796811992131617
2021-10-21,257.4234221221884
2021-10-22,-20.703734668799047
2021-10-25,-30.29673151683857
2021-10-26,-32.18139985114359
2021-10-27,8.149998982747396
2021-10-28,3.220321096970376
2021-10-29,-3.7094948659900546
2021-11-01,-8.306953089289333
2021-11-02,8.44740806293244
2021-11-03,-2.990793005389489
2021-11-04,-7.353170039939899
2021-11-05,-3.5141548893363592
2021-11-08,3.1896525415880927
2021-11-09,-4.044211520315443
2021-11-10,2.4604528534940413
2021-11-11,-0.7857859195055881
2021-11-12,1.3877015386555887
